mm_wall,mm_fuel,mm_capacity,cohort,group,n,group_total,share
Unknown-Wall,Motor-Fuel-Mixed,Under-1k,1989,Texas,0,,0
Unknown-Wall,Motor-Fuel-Mixed,Under-1k,1989,Control States,0,,0
Unknown-Wall,Motor-Fuel-Mixed,Under-1k,1990,Texas,0,,0
Unknown-Wall,Motor-Fuel-Mixed,Under-1k,1990,Control States,0,,0
Unknown-Wall,Motor-Fuel-Mixed,Under-1k,1991,Texas,0,,0
Unknown-Wall,Motor-Fuel-Mixed,Under-1k,1991,Control States,0,,0
Unknown-Wall,Motor-Fuel-Mixed,Under-1k,1992,Texas,0,,0
Unknown-Wall,Motor-Fuel-Mixed,Under-1k,1992,Control States,0,,0
Unknown-Wall,Motor-Fuel-Mixed,Under-1k,1993,Texas,0,,0
Unknown-Wall,Motor-Fuel-Mixed,Under-1k,1993,Control States,0,,0
Unknown-Wall,Motor-Fuel-Mixed,Under-1k,1994,Texas,0,,0
Unknown-Wall,Motor-Fuel-Mixed,Under-1k,1994,Control States,0,,0
Unknown-Wall,Motor-Fuel-Mixed,Under-1k,1995,Texas,0,,0
Unknown-Wall,Motor-Fuel-Mixed,Under-1k,1995,Control States,0,,0
