rep,kappa_exit_est,K_est,K_log_est,gamma_price_est,gamma_risk_est,kappa_exit_true,K_true,gamma_price_true,gamma_risk_true,converged,n_iter,log_lik,cond_num,n_obs,maintain_sh,exit_sh,replace_sh
41,14.509770376668,6.1589042162598,1.81789887475085,-1.03192920465299,0.617311623402149,15,6,-1,0.6,TRUE,27,-5405.91261594347,12412.854921016,14015,0.853228683553336,0.136353906528719,0.0104174099179451
42,15.0960802730051,6.14823454542973,1.81616497482337,-0.972679286685101,0.592974228406621,15,6,-1,0.6,TRUE,21,-5436.96612353743,12362.5235917923,13949,0.85196071402968,0.138504552297656,0.00953473367266471
43,14.5886470849654,6.10582256185431,1.80924283425309,-1.01118977322845,0.624543135135604,15,6,-1,0.6,TRUE,26,-5315.22194338358,12193.903420856,13317,0.844784861455283,0.144927536231884,0.0102876023128332
44,14.8096528356567,6.05210894997764,1.80040679807366,-1.14556226489352,0.587666467339258,15,6,-1,0.6,TRUE,9,-5481.33772577343,12698.5040234744,13947,0.850935685093569,0.138596113859611,0.0104682010468201
45,15.8802153651646,5.88527202070585,1.77245296236377,-0.799405697352525,0.59008527346533,15,6,-1,0.6,TRUE,6,-5432.59842334555,11296.2646514751,13555,0.846993729251199,0.142604205090373,0.0104020656584286
46,15.1183317968186,5.97206121207523,1.78709212946956,-0.854297724904801,0.614723754780398,15,6,-1,0.6,TRUE,77,-5529.14470529971,12160.0471788908,14279,0.854331535821836,0.134603263533861,0.0110652006443028
47,15.0543690800778,6.04652858249003,1.79948431934523,-0.94478377234493,0.598187117917383,15,6,-1,0.6,TRUE,10,-5453.83045955264,12079.9716220223,13879,0.850277397507025,0.139059010015131,0.0106635924778442
48,15.3986149606047,5.89896282339871,1.77477654281405,-0.975069126799753,0.586796780895729,15,6,-1,0.6,TRUE,16,-5497.40344741102,12107.5340373541,13780,0.848838896952105,0.140130624092888,0.0110304789550073
49,14.9325106588193,6.20080681163823,1.82467941449415,-0.991863220034478,0.610977180773605,15,6,-1,0.6,TRUE,13,-5268.9443609248,11805.1469893073,13146,0.843526547999391,0.147345200060855,0.00912825193975354
50,14.135904793121,6.12657841179151,1.81263642311621,-0.980453093358557,0.646894504101508,15,6,-1,0.6,TRUE,15,-5390.59113463171,12446.1372164313,13714,0.848476009916873,0.140002916727432,0.0115210733556949
51,15.143187628154,6.11568494523188,1.81085677353393,-0.928118687644515,0.594175887306527,15,6,-1,0.6,TRUE,8,-5451.68859225617,12424.6036551441,13887,0.851371786562973,0.138762871750558,0.00986534168646936
52,14.9324341165146,6.01151541093157,1.79367686500462,-0.895929930477399,0.61836340753171,15,6,-1,0.6,TRUE,5,-5411.88637450693,11854.2184704425,13723,0.848429643663922,0.140494061065365,0.0110762952707134
53,15.3307412358782,5.86725655264685,1.76938715706793,-0.984422606074771,0.585233115950341,15,6,-1,0.6,TRUE,13,-5522.14982160684,11836.4281610666,14010,0.85203426124197,0.136545324768023,0.0114204139900071
54,15.1855942359293,5.99619736522024,1.7911254958461,-1.12235981690325,0.58478807299795,15,6,-1,0.6,TRUE,7,-5308.51209881366,11628.4327563356,13050,0.841532567049809,0.148659003831418,0.00980842911877395
55,15.2564884274219,6.01226822368775,1.79380208561404,-1.02267866092479,0.593282432669449,15,6,-1,0.6,TRUE,5,-5366.50417843371,11429.7087933348,13572,0.848216917182434,0.142057176539935,0.00972590627763042
56,15.0759910653688,5.84458892960557,1.7655162638975,-1.01374670875306,0.601497189318258,15,6,-1,0.6,TRUE,5,-5472.52767757471,11515.7270253432,13873,0.849996395876883,0.1382541627622,0.0117494413609169
57,14.2512237000386,6.1785464180287,1.82108303636527,-0.984183696862606,0.630645281022197,15,6,-1,0.6,TRUE,9,-5376.42475494701,12550.029039151,13906,0.851502948367611,0.13771034086006,0.0107867107723285
58,15.2735598994891,5.91871444493237,1.77811927074221,-0.977245630038182,0.590523253855375,15,6,-1,0.6,TRUE,20,-5448.08358099435,11912.1311004337,13687,0.848980784686199,0.139913786804997,0.011105428508804
59,15.9596438327444,5.80336993317109,1.75843877178442,-0.955501744466338,0.573868480215792,15,6,-1,0.6,TRUE,36,-5357.01695607661,10973.4307103935,13102,0.842008853610136,0.147687375973134,0.0103037704167303
60,14.9459594892707,6.11703354212712,1.81107726367307,-0.87130722804057,0.609805761606757,15,6,-1,0.6,TRUE,9,-5422.44340507889,12210.3022223463,13963,0.852037527751916,0.137506266561627,0.0104562056864571
61,15.3793538399965,5.69689977451839,1.73992212766637,-1.0153158654769,0.593802965789038,15,6,-1,0.6,TRUE,16,-5531.09209692367,11215.5512972442,13839,0.84883300816533,0.138955126815521,0.0122118650191488
62,14.3416435912993,6.09075678977321,1.80677234161587,-1.01890487179144,0.625721240365141,15,6,-1,0.6,TRUE,6,-5455.35582087388,12677.3804989517,13918,0.850553240408105,0.137879005604253,0.0115677539876419
63,14.3967383850985,6.16760088085285,1.81930992613444,-0.959871851087811,0.637936853236266,15,6,-1,0.6,TRUE,7,-5321.95599138577,12190.944103323,13380,0.845067264573991,0.144469357249626,0.0104633781763827
64,14.5560207469617,6.06324589702877,1.80224528325692,-1.02789453422642,0.617017940607871,15,6,-1,0.6,TRUE,13,-5460.22349422174,11798.2337326832,14136,0.852716468590832,0.136247877758913,0.0110356536502547
65,15.2006552235596,5.90193408893219,1.77528010887659,-0.8656132588932,0.599943332249531,15,6,-1,0.6,TRUE,6,-5629.39163288972,12348.5019775871,14622,0.856996306934756,0.130967035973191,0.0120366570920531
66,14.3493178078131,6.02700606911784,1.79625038148859,-1.28936236857975,0.582170818842813,15,6,-1,0.6,TRUE,6,-5480.2136491158,13223.7480232487,13921,0.850800948207744,0.137921126355865,0.0112779254363911
67,15.2206454339866,5.81122928857276,1.75979212999355,-1.01808545633274,0.586167233387884,15,6,-1,0.6,TRUE,15,-5588.23922677184,11555.4835895803,14391,0.854909318323952,0.133138767285109,0.0119519143909388
68,15.3689672677495,5.98956544358015,1.79001886251409,-1.054339259729,0.575774010691388,15,6,-1,0.6,TRUE,8,-5452.97254395901,11894.4616020417,13933,0.851431852436661,0.13866360439245,0.00990454317088926
69,13.9483178192236,6.1863569470738,1.82234637500259,-1.2719690650027,0.604377582851556,15,6,-1,0.6,TRUE,7,-5421.60311576324,13297.8469878019,13965,0.851629072681704,0.137629788757608,0.0107411385606874
70,15.1674428949125,5.94880021327605,1.78318955439693,-1.03720607085087,0.590095339706668,15,6,-1,0.6,TRUE,34,-5397.96083669651,11971.3252191479,13453,0.845907975916153,0.143388091875418,0.0107039322084293
71,14.7423873581409,6.03866556013187,1.79818305378427,-1.07723436137372,0.600639262492359,15,6,-1,0.6,TRUE,28,-5426.62505081048,11868.1599676038,13741,0.848919292627902,0.140018921475875,0.011061785896223
72,14.9071378511041,6.20121631366024,1.82474545243296,-0.921704329800679,0.61564174545882,15,6,-1,0.6,TRUE,15,-5304.8200980272,11837.5961599114,13499,0.847766501222313,0.142677235350767,0.00955626342692051
73,14.6850688131246,6.16737196418269,1.81927280944629,-0.947925199200786,0.61839503151949,15,6,-1,0.6,TRUE,17,-5435.4974679907,12164.883398084,14359,0.856187756807577,0.134062260603106,0.0097499825893168
74,16.244369280634,5.68141383697582,1.7372001167194,-0.817179777278222,0.57903729385307,15,6,-1,0.6,TRUE,9,-5428.45225789186,10247.1091523811,13193,0.84158265746987,0.147047676798302,0.0113696657318275
75,15.1894854910663,5.90473199149698,1.77575406191263,-0.95577269408691,0.594342751994481,15,6,-1,0.6,TRUE,8,-5521.02874007177,11968.0958023805,14097,0.852379938994112,0.136270128396113,0.0113499326097751
76,15.6067533776771,5.87181710404609,1.77016414369602,-0.917111241789061,0.580261459000326,15,6,-1,0.6,TRUE,22,-5533.91934674267,11609.8158600121,14066,0.852054599744064,0.136997014076497,0.0109483861794398
77,14.8458997951671,6.17371085702044,1.82030009262509,-0.782254634694704,0.635665216505657,15,6,-1,0.6,TRUE,23,-5356.19251310248,11714.1825589765,14034,0.853071113011258,0.137095624910931,0.00983326207781103
78,14.9183769976453,6.0317920264474,1.79704415173716,-0.894238661053718,0.615622211168632,15,6,-1,0.6,TRUE,14,-5440.22886059878,11885.8976053572,14220,0.854571026722926,0.134669479606188,0.0107594936708861
