term,estimate,std.error,conf.low,conf.high,year,spec
rel_year::20:texas_treated,0.0164587660876226,0.00506535810368329,0.00577179465316737,0.0271457375220778,20,trends
rel_year::21:texas_treated,0.0279839570780933,0.00464792237456967,0.0181776980476662,0.0377902161085204,21,trends
rel_year::22:texas_treated,0.026333440668969,0.00363867122257479,0.0186565154409669,0.0340103658969711,22,trends
rel_year::-7:texas_treated,-0.000788970169076404,0.000534088907948615,-0.00191579926701438,0.000337858928861568,-7,below_median
rel_year::-6:texas_treated,-0.00158333771796108,0.000417190641498399,-0.00246353303232068,-0.000703142403601483,-6,below_median
rel_year::-5:texas_treated,-0.00216682497391475,0.000427477551480981,-0.00306872377120337,-0.00126492617662613,-5,below_median
rel_year::-4:texas_treated,-0.00187295378519723,0.000337616792818274,-0.00258526295402335,-0.00116064461637111,-4,below_median
rel_year::-3:texas_treated,-0.00113977782268908,0.000302062615053951,-0.00177707423341098,-0.000502481411967187,-3,below_median
rel_year::-2:texas_treated,-0.000548220829659911,0.000236075428364282,-0.00104629644596654,-0.0000501452133532762,-2,below_median
ref_-1,0,0,0,0,-1,below_median
rel_year::0:texas_treated,0.000428066267741752,0.000204298784125577,-0.00000296648953879559,0.000859099025022299,0,below_median
rel_year::1:texas_treated,0.00383046077762015,0.00125265478852961,0.00118759019113288,0.00647333136410741,1,below_median
rel_year::2:texas_treated,0.00166021058491066,0.000952767510502059,-0.000349953150800051,0.00367037432062137,2,below_median
rel_year::3:texas_treated,0.00214976204568219,0.00110334700764535,-0.000178096658803742,0.00447762075016812,3,below_median
rel_year::4:texas_treated,0.00273691171446255,0.00154364725657077,-0.000519899314130118,0.00599372274305522,4,below_median
rel_year::5:texas_treated,0.00226595407213656,0.00192825331675963,-0.00180230481357167,0.0063342129578448,5,below_median
rel_year::6:texas_treated,0.00437316753194581,0.00206193210937478,0.0000228710471521856,0.00872346401673944,6,below_median
rel_year::7:texas_treated,0.00361329145587214,0.00219844851608922,-0.00102502947043745,0.00825161238218172,7,below_median
rel_year::8:texas_treated,0.00348493307479532,0.00218757961917738,-0.00113045648349579,0.00810032263308643,8,below_median
rel_year::9:texas_treated,0.00592321213665112,0.00282102799813916,-0.0000286366793268295,0.0118750609526291,9,below_median
rel_year::10:texas_treated,0.00189001429081673,0.00290461914446223,-0.00423819642784257,0.00801822500947604,10,below_median
rel_year::11:texas_treated,0.00394929283690603,0.00260307995994001,-0.00154272581292113,0.00944131148673318,11,below_median
rel_year::12:texas_treated,0.00252836950358379,0.00241163897897056,-0.00255974398235833,0.0076164829895259,12,below_median
rel_year::13:texas_treated,0.00486832714275752,0.00239340138457712,-0.00018130838243112,0.00991796266794616,13,below_median
rel_year::14:texas_treated,0.00466820536189093,0.00240828162609495,-0.00041282472865394,0.00974923545243579,14,below_median
rel_year::15:texas_treated,0.00683541585414993,0.00264811351041061,0.00124838471801477,0.0124224469902851,15,below_median
rel_year::16:texas_treated,0.00562077948058891,0.00271644684811812,-0.000110422395926906,0.0113519813571047,16,below_median
rel_year::17:texas_treated,0.00726886760582405,0.00293032411692225,0.00108642413584084,0.0134513110758073,17,below_median
rel_year::18:texas_treated,0.00665870755111139,0.00320304267306137,-0.0000991217769783495,0.0134165368792011,18,below_median
rel_year::19:texas_treated,0.00615602977443264,0.00301679726553555,-0.000208856091559218,0.0125209156404245,19,below_median
rel_year::20:texas_treated,0.0125127576084661,0.00303856115774391,0.00610195394365874,0.0189235612732734,20,below_median
rel_year::21:texas_treated,0.0170947082610058,0.00318133654694055,0.0103826748559401,0.0238067416660714,21,below_median
rel_year::22:texas_treated,0.0165235270578273,0.00278561041439894,0.0106464028117537,0.0224006513039009,22,below_median
rel_year::-13:texas_treated,0.00062248274530773,0.00067056480955489,-0.000792285335838007,0.00203725082645347,-13,above_median
rel_year::-12:texas_treated,0.000768145544868103,0.000510877125479428,-0.000309710972827099,0.00184600206256331,-12,above_median
rel_year::-11:texas_treated,-0.000522433201840213,0.000361771449569953,-0.00128570424175824,0.000240837838077814,-11,above_median
rel_year::-10:texas_treated,-0.000203862286624124,0.000243784709946474,-0.000718203065306772,0.000310478492058523,-10,above_median
rel_year::-9:texas_treated,-0.000043454601202208,0.000122064673591123,-0.000300988551047898,0.000214079348643482,-9,above_median
rel_year::-8:texas_treated,0.0000503999880302356,0.0000110593392266714,0.0000270668218492612,0.00007373315421121,-8,above_median
rel_year::-7:texas_treated,0.000051165233735359,0.0000111643498863713,0.0000276105144287111,0.0000747199530420068,-7,above_median
rel_year::-6:texas_treated,-0.000122767762062658,0.0000246850802559894,-0.00017484872892681,-0.0000706867951985061,-6,above_median
rel_year::-5:texas_treated,-0.000121612313816923,0.0000245192205301205,-0.000173343347247702,-0.0000698812803861446,-5,above_median
rel_year::-4:texas_treated,0.000158059347377252,0.0000285462597490767,0.0000978320038697734,0.00021828669088473,-4,above_median
rel_year::-3:texas_treated,0.000332485675907953,0.0000598557918854052,0.000206200993764576,0.00045877035805133,-3,above_median
rel_year::-2:texas_treated,0.0000000000000625114612488798,0.00000100000006903929,-0.00000210981566098202,0.00000210981578600495,-2,above_median
ref_-1,0,0,0,0,-1,above_median
rel_year::0:texas_treated,0.00108987319857102,0.00032563313602187,0.00040284733553336,0.00177689906160867,0,above_median
rel_year::1:texas_treated,0.0174704929963286,0.00420747918387989,0.00859348787076943,0.0263474981218879,1,above_median
rel_year::2:texas_treated,0.00761996881446538,0.00310254430894495,0.00107417250053522,0.0141657651283955,2,above_median
rel_year::3:texas_treated,0.00384330980695442,0.00423127398161828,-0.00508389795354463,0.0127705175674535,3,above_median
rel_year::4:texas_treated,0.00731617708019999,0.00307222020283463,0.000834359037725255,0.0137979951226747,4,above_median
rel_year::5:texas_treated,0.00950240834296375,0.00359747408858997,0.00191240147000491,0.0170924152159226,5,above_median
rel_year::6:texas_treated,0.00267588749004675,0.00365985911716856,-0.00504574028803077,0.0103975152681243,6,above_median
rel_year::7:texas_treated,0.000978912061580824,0.00435388230121129,-0.00820697664156752,0.0101648007647292,7,above_median
rel_year::8:texas_treated,0.000790179547128204,0.00446064886595209,-0.00862096691750203,0.0102013260117584,8,above_median
rel_year::9:texas_treated,0.00592905940098361,0.00911185325098712,-0.0132952705308802,0.0251533893328474,9,above_median
rel_year::10:texas_treated,0.00438330116679115,0.00470258172697227,-0.00553827901680925,0.0143048813503915,10,above_median
rel_year::11:texas_treated,-0.00420646568273728,0.00510444456469973,-0.0149759023415274,0.00656297097605281,11,above_median
rel_year::12:texas_treated,-0.00222162276572404,0.00472815708849096,-0.0121971622454653,0.00775391671401719,12,above_median
rel_year::13:texas_treated,0.00070365701386023,0.00461494431383539,-0.00903302439030296,0.0104403384180234,13,above_median
rel_year::14:texas_treated,-0.00465800715632728,0.00574977620055295,-0.0167889745533091,0.00747296024065459,14,above_median
rel_year::15:texas_treated,-0.00424686712921698,0.00571019462870632,-0.0162943247093217,0.00780059045088775,15,above_median
rel_year::16:texas_treated,0.000921724521671038,0.00625854956137981,-0.01228266083757,0.014126109880912,16,above_median
rel_year::17:texas_treated,0.00441913791316894,0.00648047841102436,-0.00925347639022274,0.0180917522165606,17,above_median
rel_year::18:texas_treated,0.0116951312533067,0.00674606356688618,-0.00253781874916351,0.025928081255777,18,above_median
