mm_wall,mm_fuel,mm_capacity,cohort,group,n,group_total,share
Unknown-Wall,Other-Fuel,12k-25k,1995-1997,Texas,24,358115,0.0000670175781522695
Unknown-Wall,Other-Fuel,12k-25k,1995-1997,Control States,10835,5721325,0.00189379208487544
Unknown-Wall,Other-Fuel,1k-5k,1989-1991,Texas,271,358115,0.00075674015330271
Unknown-Wall,Other-Fuel,1k-5k,1989-1991,Control States,114851,5721325,0.0200741960996797
Unknown-Wall,Other-Fuel,1k-5k,1992-1994,Texas,43,358115,0.00012007316085615
Unknown-Wall,Other-Fuel,1k-5k,1992-1994,Control States,60734,5721325,0.0106153731871551
Unknown-Wall,Other-Fuel,1k-5k,1995-1997,Texas,0,,0
Unknown-Wall,Other-Fuel,1k-5k,1995-1997,Control States,45639,5721325,0.00797699833517586
Unknown-Wall,Other-Fuel,25k-Plus,1989-1991,Texas,0,,0
Unknown-Wall,Other-Fuel,25k-Plus,1989-1991,Control States,1711,5721325,0.000299056599651305
Unknown-Wall,Other-Fuel,25k-Plus,1992-1994,Texas,0,,0
Unknown-Wall,Other-Fuel,25k-Plus,1992-1994,Control States,1097,5721325,0.000191738801763578
Unknown-Wall,Other-Fuel,25k-Plus,1995-1997,Texas,0,,0
Unknown-Wall,Other-Fuel,25k-Plus,1995-1997,Control States,1040,5721325,0.000181776074598104
Unknown-Wall,Other-Fuel,5k-12k,1989-1991,Texas,272,358115,0.000759532552392388
Unknown-Wall,Other-Fuel,5k-12k,1989-1991,Control States,77837,5721325,0.0136047156908583
Unknown-Wall,Other-Fuel,5k-12k,1992-1994,Texas,64,358115,0.000178713541739385
Unknown-Wall,Other-Fuel,5k-12k,1992-1994,Control States,40743,5721325,0.00712125250706786
Unknown-Wall,Other-Fuel,5k-12k,1995-1997,Texas,50,358115,0.000139619954483895
Unknown-Wall,Other-Fuel,5k-12k,1995-1997,Control States,34716,5721325,0.00606782519783442
Unknown-Wall,Other-Fuel,Under-1k,1989-1991,Texas,123,358115,0.000343465088030381
Unknown-Wall,Other-Fuel,Under-1k,1989-1991,Control States,34350,5721325,0.00600385400235085
Unknown-Wall,Other-Fuel,Under-1k,1992-1994,Texas,22,358115,0.0000614327799729137
Unknown-Wall,Other-Fuel,Under-1k,1992-1994,Control States,18766,5721325,0.0032800094383731
Unknown-Wall,Other-Fuel,Under-1k,1995-1997,Texas,0,,0
Unknown-Wall,Other-Fuel,Under-1k,1995-1997,Control States,15437,5721325,0.00269815121497206
