make_model_tank,closure_rate_Control,closure_rate_Texas,n_Control,n_Texas,pre_gap
Double-Walled_Other-Fuel_12k-25k_1994,0.0124584717607973,0,1204,285,-0.0124584717607973
Single-Walled_Diesel-Only_1k-5k_1992,0.00692746536267319,0.0192307692307692,4908,208,0.012303303868096
Double-Walled_Other-Fuel_Under-1k_1994,0.0116959064327485,0,684,25,-0.0116959064327485
Double-Walled_Other-Fuel_1k-5k_1992,0.00409965310627562,0.015748031496063,3171,127,0.0116483783897874
Double-Walled_Gasoline-Only_12k-25k_1990,0.00291462955998496,0.0144329896907217,10636,970,0.0115183601307367
Double-Walled_Diesel-Only_12k-25k_1990,0.00236717517096265,0.013840830449827,3802,289,0.0114736552788643
Single-Walled_Diesel-Only_1k-5k_1989,0.0148879716981132,0.0263157894736842,13568,608,0.011427817775571
Double-Walled_Diesel-Only_1k-5k_1993,0.00143833153541891,0.0126582278481013,2781,79,0.0112198963126824
Double-Walled_Gasoline-Only_5k-12k_1997,0.0111333143020268,0,3503,98,-0.0111333143020268
Double-Walled_Diesel-Only_12k-25k_1997,0.0108225108225108,0,924,100,-0.0108225108225108
Single-Walled_Diesel-Only_1k-5k_1990,0.0100205338809035,0.0207852193995381,12175,433,0.0107646855186346
Double-Walled_Gasoline-Only_1k-5k_1992,0.00570852921423774,0.0163934426229508,2978,61,0.0106849134087131
Double-Walled_Other-Fuel_12k-25k_1995,0.0106007067137809,0,849,204,-0.0106007067137809
Unknown-Wall_Gasoline-Only_1k-5k_1990,0.0105544098022565,0,8243,36,-0.0105544098022565
Single-Walled_Gasoline-Only_12k-25k_1992,0.00354953210713133,0.0135635018495684,6198,811,0.0100139697424371
Double-Walled_Motor-Fuel-Mixed_12k-25k_1991,0.0099009900990099,0,202,24,-0.0099009900990099
Single-Walled_Diesel-Only_12k-25k_1989,0.00593528623396515,0.0157068062827225,5223,382,0.00977152004875736
Double-Walled_Diesel-Only_5k-12k_1996,0.00976863753213368,0,1945,90,-0.00976863753213368
Double-Walled_Other-Fuel_5k-12k_1994,0.0096964586846543,0,2372,190,-0.0096964586846543
Double-Walled_Diesel-Only_12k-25k_1992,0.00216138328530259,0.0115384615384615,2776,260,0.00937707825315895
Double-Walled_Other-Fuel_1k-5k_1996,0.0092485549132948,0,865,63,-0.0092485549132948
Double-Walled_Diesel-Only_5k-12k_1992,0.00361383582860093,0.0127388535031847,3874,157,0.00912501767458378
Double-Walled_Motor-Fuel-Mixed_5k-12k_1996,0.00892857142857143,0,112,12,-0.00892857142857143
Double-Walled_Gasoline-Only_1k-5k_1990,0.00583141897861813,0.0144927536231884,5659,207,0.00866133464457028
Double-Walled_Motor-Fuel-Mixed_12k-25k_1996,0.018957345971564,0.0103092783505155,211,97,-0.00864806762104852
Single-Walled_Motor-Fuel-Mixed_5k-12k_1992,0.00840336134453782,0,119,147,-0.00840336134453782
Double-Walled_Other-Fuel_1k-5k_1994,0.00834260289210234,0,1798,85,-0.00834260289210234
Double-Walled_Other-Fuel_Under-1k_1992,0.00825206301575394,0,1333,28,-0.00825206301575394
Unknown-Wall_Other-Fuel_Under-1k_1994,0.0082051282051282,0,975,5,-0.0082051282051282
Double-Walled_Other-Fuel_12k-25k_1992,0.00815771583956492,0,1471,301,-0.00815771583956492
Single-Walled_Gasoline-Only_1k-5k_1994,0.0306939501779359,0.0225988700564972,4496,177,-0.00809508012143877
Double-Walled_Other-Fuel_5k-12k_1996,0.008,0,1375,150,-0.008
Single-Walled_Diesel-Only_12k-25k_1990,0.00962309542902967,0.00171526586620926,4988,583,-0.00790782956282041
Double-Walled_Other-Fuel_12k-25k_1989,0.00759668508287293,0,1448,240,-0.00759668508287293
Single-Walled_Diesel-Only_12k-25k_1997,0.00455580865603645,0.0120481927710843,878,83,0.00749238411504789
Single-Walled_Gasoline-Only_5k-12k_1997,0.0118785745710515,0.0191082802547771,4546,314,0.00722970568372559
Single-Walled_Other-Fuel_1k-5k_1993,0.0289256198347107,0.0217391304347826,2904,230,-0.00718648939992814
Single-Walled_Diesel-Only_1k-5k_1995,0.00339270568278202,0.0104166666666667,2358,96,0.00702396098388465
Single-Walled_Other-Fuel_1k-5k_1992,0.0155330666039068,0.0087463556851312,4249,343,-0.00678671091877561
Double-Walled_Diesel-Only_1k-5k_1997,0.00671892497200448,0,893,12,-0.00671892497200448
Double-Walled_Gasoline-Only_5k-12k_1993,0.00212947189097104,0.00879765395894428,9392,341,0.00666818206797324
