facility_id,state
101272,Massachusetts
101285,Ohio
101288,Pennsylvania
1012903,Tennessee
101296,Virginia
10130,New Jersey
101303,Michigan
101304,Arkansas
101311,Texas
101319,Oklahoma
10132,Louisiana
101320,New Mexico
101335,Maine
101338,Montana
101340,Idaho
101341,Kansas
101343,South Dakota
101344,Alabama
101345,Minnesota
1013494,Connecticut
10135,North Carolina
1013525,Illinois
10136,Massachusetts
101366,Ohio
10137,Pennsylvania
1013816,Tennessee
10139,Virginia
101390,New Jersey
101397,Michigan
101398,Arkansas
10140,Texas
101403,Oklahoma
101409,Louisiana
10141,New Mexico
1014131,Maine
101414,Montana
101415,Idaho
10142,Kansas
10143,South Dakota
10144,Alabama
101441,Minnesota
101442,Connecticut
101443,North Carolina
101448,Illinois
101449,Massachusetts
101463,Ohio
101465,Pennsylvania
101466,Tennessee
101468,Virginia
101469,New Jersey
101475,Michigan
101476,Arkansas
101487,Texas
101496,Oklahoma
1015,Louisiana
101512,New Mexico
101519,Maine
10152,Montana
101521,Idaho
101523,Kansas
101524,South Dakota
101526,Alabama
101531,Minnesota
101533,Connecticut
101534,North Carolina
101536,Illinois
101538,Massachusetts
101547,Ohio
101549,Pennsylvania
101555,Tennessee
101556,Virginia
10156,New Jersey
101564,Michigan
101566,Arkansas
101576,Texas
101579,Oklahoma
101594,Louisiana
10160,New Mexico
101600,Maine
101601,Montana
101610,Idaho
101611,Kansas
101612,South Dakota
101614,Alabama
101628,Minnesota
101646,Connecticut
101647,North Carolina
101648,Illinois
101652,Massachusetts
10166,Ohio
101660,Pennsylvania
101662,Tennessee
101663,Virginia
1017,New Jersey
10170,Michigan
101711,Arkansas
101712,Texas
101718,Oklahoma
101720,Louisiana
101721,New Mexico
101726,Maine
101728,Montana
101729,Idaho
101730,Kansas
101731,South Dakota
101733,Alabama
101735,Minnesota
101736,Connecticut
101737,North Carolina
101739,Illinois
10174,Massachusetts
101740,Ohio
101742,Pennsylvania
101747,Tennessee
101748,Virginia
101749,New Jersey
101750,Michigan
101755,Arkansas
101756,Texas
101757,Oklahoma
10178,Louisiana
101781,New Mexico
101787,Maine
101793,Montana
101794,Idaho
101797,Kansas
101798,South Dakota
101799,Alabama
1018,Minnesota
101800,Connecticut
101801,North Carolina
101803,Illinois
101804,Massachusetts
101805,Ohio
101814,Pennsylvania
101816,Tennessee
101829,Virginia
101830,New Jersey
101831,Michigan
10185,Arkansas
101873,Texas
101874,Oklahoma
