make_model_tank,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Double-Walled_Diesel-Only_1k-5k_1992,,,,,,,,0.051063829787234,0.0512820512820513,0.0512820512820513,0.0512820512820513,0.0515021459227468,0.0517241379310345,0.0517241379310345,0.0524017467248908,0.0401785714285714,0.0319634703196347,0.0324074074074074,0.028169014084507,0.0238095238095238,0.0239234449760766,0.0193236714975845,0.0197044334975369,0.0204081632653061,0.0207253886010363,0.0212765957446809,0.021505376344086,0.021505376344086,0.0216216216216216,0.0220994475138122,0.0222222222222222,0.023121387283237,0.0239520958083832,0.024390243902439,0.0246913580246914,0.0248447204968944
Double-Walled_Diesel-Only_1k-5k_1993,,,,,,,,,0.0625,0.0582959641255605,0.0582959641255605,0.0582959641255605,0.0582959641255605,0.0588235294117647,0.0590909090909091,0.0420560747663551,0.0428571428571429,0.0430622009569378,0.0436893203883495,0.0443349753694581,0.0447761194029851,0.045,0.0406091370558376,0.0408163265306122,0.041025641025641,0.0412371134020619,0.0366492146596859,0.037037037037037,0.0372340425531915,0.0376344086021505,0.0378378378378378,0.0380434782608696,0.0382513661202186,0.0391061452513967,0.0397727272727273,0.0404624277456647
Double-Walled_Diesel-Only_1k-5k_1994,,,,,,,,,,0.032258064516129,0.0327102803738318,0.0327102803738318,0.0327102803738318,0.028169014084507,0.023696682464455,0.0240384615384615,0.0195121951219512,0.0148514851485149,0.0148514851485149,0.0149253731343284,0.015,0.0101010101010101,0.0102040816326531,0.0104712041884817,0.0105820105820106,0.0105820105820106,0.010989010989011,0.0111111111111111,0.0114285714285714,0.0116279069767442,0.0118343195266272,0.0119047619047619,0.0121212121212121,0.0121212121212121,0.0121951219512195,0.0122699386503067
Double-Walled_Diesel-Only_1k-5k_1995,,,,,,,,,,,0.0470588235294118,0.0484848484848485,0.0484848484848485,0.0484848484848485,0.0368098159509202,0.0368098159509202,0.037037037037037,0.037037037037037,0.037037037037037,0.0316455696202532,0.0320512820512821,0.0258064516129032,0.0258064516129032,0.025974025974026,0.025974025974026,0.0198675496688742,0.02,0.0206896551724138,0.020979020979021,0.0211267605633803,0.0215827338129496,0.0218978102189781,0.0222222222222222,0.0225563909774436,0.0236220472440945,0.024
Double-Walled_Diesel-Only_1k-5k_1996,,,,,,,,,,,,0.0459183673469388,0.0471204188481675,0.0471204188481675,0.0471204188481675,0.0473684210526316,0.0473684210526316,0.0476190476190476,0.0483870967741936,0.0483870967741936,0.0437158469945355,0.043956043956044,0.043956043956044,0.043956043956044,0.043956043956044,0.0444444444444444,0.0454545454545455,0.0454545454545455,0.0457142857142857,0.046242774566474,0.0467836257309942,0.0476190476190476,0.0479041916167665,0.0479041916167665,0.0481927710843374,0.050314465408805
Double-Walled_Diesel-Only_1k-5k_1997,,,,,,,,,,,,,0.0320855614973262,0.032967032967033,0.0331491712707182,0.0335195530726257,0.0335195530726257,0.0338983050847458,0.0340909090909091,0.0340909090909091,0.0348837209302326,0.0350877192982456,0.0355029585798817,0.0357142857142857,0.0359281437125749,0.0372670807453416,0.0316455696202532,0.0320512820512821,0.0328947368421053,0.033112582781457,0.0340136054421769,0.034965034965035,0.0352112676056338,0.036231884057971,0.0367647058823529,0.037593984962406
Double-Walled_Diesel-Only_25k-Plus_1986,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
Double-Walled_Diesel-Only_25k-Plus_1987,,,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
Double-Walled_Diesel-Only_25k-Plus_1988,,,,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.285714285714286,0.285714285714286,0.285714285714286,0.285714285714286,0.285714285714286,0.285714285714286,0.285714285714286,0.285714285714286,0.285714285714286,0.285714285714286,0.285714285714286,0.285714285714286,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
Double-Walled_Diesel-Only_25k-Plus_1989,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Double-Walled_Diesel-Only_25k-Plus_1990,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Double-Walled_Diesel-Only_25k-Plus_1991,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Double-Walled_Diesel-Only_25k-Plus_1992,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Double-Walled_Diesel-Only_25k-Plus_1993,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Double-Walled_Diesel-Only_25k-Plus_1994,,,,,,,,,,0.266666666666667,0.266666666666667,0.266666666666667,0.266666666666667,0.266666666666667,0.266666666666667,0.266666666666667,0.266666666666667,0.266666666666667,0.285714285714286,0.285714285714286,0.285714285714286,0.285714285714286,0.285714285714286,0.285714285714286,0.285714285714286,0.285714285714286,0.285714285714286,0.285714285714286,0.285714285714286,0.285714285714286,0.285714285714286,0.285714285714286,0.285714285714286,0.285714285714286,0.285714285714286,0.285714285714286
Double-Walled_Diesel-Only_25k-Plus_1995,,,,,,,,,,,0.0588235294117647,0.0588235294117647,0.0588235294117647,0.0588235294117647,0.0588235294117647,0.0588235294117647,0.0588235294117647,0.0588235294117647,0.0588235294117647,0.0588235294117647,0.0588235294117647,0.0588235294117647,0.0588235294117647,0.0588235294117647,0.0588235294117647,0.0588235294117647,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625
Double-Walled_Diesel-Only_25k-Plus_1996,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Double-Walled_Diesel-Only_25k-Plus_1997,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Double-Walled_Diesel-Only_5k-12k_1985,0.397058823529412,0.397058823529412,0.397058823529412,0.397058823529412,0.397058823529412,0.397058823529412,0.397058823529412,0.388059701492537,0.388059701492537,0.388059701492537,0.388059701492537,0.388059701492537,0.4,0.4,0.390625,0.366666666666667,0.379310344827586,0.379310344827586,0.357142857142857,0.357142857142857,0.345454545454545,0.372549019607843,0.36,0.354166666666667,0.354166666666667,0.354166666666667,0.361702127659575,0.361702127659575,0.361702127659575,0.386363636363636,0.395348837209302,0.395348837209302,0.395348837209302,0.404761904761905,0.404761904761905,0.404761904761905
