rel_year,est,se,ci_lo,ci_hi,margin,period
-7,8.99118315979423e-05,0.000792950194406384,-0.00146427054943857,0.00164409421263446,consolidate,pre
-6,-0.000704935693346946,0.000568208244120973,-0.00181862385182405,0.000408752465130162,consolidate,pre
-5,-0.000273369799207944,0.000743535498941738,-0.00173069937713375,0.00118395977871786,consolidate,pre
-4,-0.000191682443115712,0.000717405092074915,-0.00159779642358255,0.00121443153735112,consolidate,pre
-3,-0.000510582051944046,0.000459310528947582,-0.00141083068868131,0.000389666584793214,consolidate,pre
-2,0.00190976087806973,0.000464497733051024,0.00099934532128972,0.00282017643484973,consolidate,pre
-1,0,0,0,0,consolidate,pre
0,9.91858038424009e-05,0.000424195158068437,-0.000732236705971735,0.000930608313656536,consolidate,event
1,0.000772998377812435,0.000750291028269822,-0.000697572037596415,0.00224356879322129,consolidate,post
2,-0.00074725192646869,0.000629970294625266,-0.00198199370393421,0.000487489850996832,consolidate,post
3,-0.000636361017714107,0.00062446931611715,-0.00186032087730372,0.000587598841875507,consolidate,post
4,-0.00139442005721174,0.000576975394576995,-0.00252529183058265,-0.000263548283840827,consolidate,post
5,-0.000858312486376182,0.000649544558797258,-0.00213141982161881,0.000414794848866443,consolidate,post
6,-0.000885861999948414,0.000683736424075491,-0.00222598539113638,0.000454261391239549,consolidate,post
7,0.000192909626203522,0.000750718013982557,-0.00127849768120229,0.00166431693360933,consolidate,post
8,-0.0009904082623822,0.000719580804243142,-0.00240078663869876,0.000419970113934358,consolidate,post
9,-0.00154762580330726,0.000635594509054631,-0.00279339104105433,-0.000301860565560181,consolidate,post
10,-0.00122543858335288,0.000673754656509184,-0.00254599771011088,9.5120543405116e-05,consolidate,post
11,-0.000541081455608812,0.000733892315516975,-0.00197951039402208,0.000897347482804458,consolidate,post
12,-0.000673429827715546,0.000760564299190455,-0.00216413585412884,0.000817276198697746,consolidate,post
13,-0.000592039592765002,0.000677931551033976,-0.00192078543279159,0.000736706247261591,consolidate,post
14,-0.000664215295564965,0.00084922880731228,-0.00232870375789703,0.0010002731667671,consolidate,post
15,-0.00073502648397355,0.000784884514839251,-0.00227340013305848,0.000803347165111383,consolidate,post
16,-0.000555043342009096,0.000837624416594526,-0.00219678719853437,0.00108670051451617,consolidate,post
17,-0.00025066420744065,0.000761433109513611,-0.00174307310208733,0.00124174468720603,consolidate,post
18,6.83851556364771e-05,0.000828043909766893,-0.00155458090750663,0.00169135121877959,consolidate,post
19,-0.000317815464513527,0.000863397734192981,-0.00201007502353177,0.00137444409450472,consolidate,post
20,0.000154664371602371,0.000909569404544745,-0.00162809166130533,0.00193742040451007,consolidate,post
21,-1.25398787967634e-05,0.00094625156331054,-0.00186719294288542,0.00184211318529189,consolidate,post
22,0.000576013778379103,0.00092903035039524,-0.00124488570839557,0.00239691326515377,consolidate,post
-13,0.000605124031722142,0.000839862219942234,-0.00104100591936464,0.00225125398280892,repl_share,pre
-12,0.000174063757922148,0.000829073514055624,-0.00145092032962688,0.00179904784547117,repl_share,pre
-11,0.00375741702422454,0.00103440431071321,0.00172998457522665,0.00578484947322242,repl_share,pre
-10,-0.00030405149224301,0.00122557769011552,-0.00270618376486942,0.0020980807803834,repl_share,pre
-9,0.00135341938130328,0.00111476910187989,-0.000831528058381309,0.00353836682098788,repl_share,pre
-8,0.00218262513406583,0.00127015217413662,-0.000306873127241954,0.00467212339537361,repl_share,pre
-7,0.00440601088841979,0.00115290224338558,0.00214632249138406,0.00666569928545552,repl_share,pre
-6,0.00134510863956756,0.000652609952744392,6.59931321885488e-05,0.00262422414694657,repl_share,pre
-5,0.000255962634763963,0.000812003887310124,-0.00133556498436388,0.0018474902538918,repl_share,pre
