install_year,var,hr,coef,se,p,ci_lo,ci_hi
1963,did_yr1963,3.77684368600015,1.32888865711806,0.120774442429632,0.000109883091107898,2.98073749056927,4.78557681567421
1964,did_yr1964,2.32197821228214,0.842419500062917,0.118082370680131,0.000317298073943236,1.84223231976268,2.92665738217399
1965,did_yr1965,2.4063447826865,0.878108908485558,0.0927703505414371,0.00232711707565356,2.00627350040349,2.8861943359158
1966,did_yr1966,3.4685137976936,1.24372620183548,0.0497315337779512,0.00000431836576755684,3.14637940214482,3.8236291391273
1967,did_yr1967,2.82345616503401,1.03796172496473,0.103002474495472,0.000092814702641598,2.30729738168812,3.4550833278526
1968,did_yr1968,2.43851538797265,0.89138940657359,0.0684248346034688,0.00020646117713704,2.13246104036372,2.78849516348735
1969,did_yr1969,2.45640559956308,0.898699143051637,0.0784027216047999,0.000384789107825742,2.10650422621051,2.86442742173824
1970,did_yr1970,1.79992866653756,0.587747034415485,0.0651283257859903,0.0000000329401146854955,1.58422529643334,2.04500156127887
1971,did_yr1971,2.57721635928794,0.946709885960459,0.0398717832269498,0.000148364970988268,2.38347901378698,2.78670134041928
1972,did_yr1972,1.71802486067288,0.541175294163348,0.0522522959853508,0.0125069046176071,1.55078428616039,1.9033010897976
1973,did_yr1973,2.17602907152818,0.777501688981739,0.057975278422185,0.000315891632019097,1.94229476632103,2.43789078889643
1974,did_yr1974,2.06239893839013,0.723869838457761,0.0451856855271787,0.00293919622884075,1.88759946006039,2.25338556779236
1975,did_yr1975,1.55486191547639,0.441386741351486,0.0540145604322516,0.0142254168921627,1.39866498971995,1.72850224604747
1976,did_yr1976,1.87889943285968,0.630686197370297,0.0336950274804648,0.00137213604444323,1.75882143143231,2.007175382168
1977,did_yr1977,1.60972975558191,0.476066311231537,0.046970603492472,0.00900332058859662,1.46815120913575,1.76496117694252
1978,did_yr1978,1.55162061716199,0.439299944173916,0.038828957000184,0.00792880878774127,1.43791649654904,1.67431596019669
1979,did_yr1979,1.64967912512353,0.500580799378719,0.0400579085308366,0.00470684618658293,1.5251111591644,1.78442154823614
1980,did_yr1980,1.43307252693565,0.359820759523176,0.0358696043647484,0.0300930658216611,1.33578126107336,1.53744997575987
1981,did_yr1981,1.58208916604176,0.458746230615394,0.0334668385127686,0.00154117591790473,1.48164243692177,1.68934559846094
1982,did_yr1982,1.43658284723062,0.3622672707506,0.0318637955480321,0.00503160767040625,1.34960806958866,1.52916266837841
1983,did_yr1983,1.28640064305532,0.251848119329971,0.0309663388466911,0.0416598994344392,1.21064599243322,1.36689554568068
1984,did_yr1984,1.18581818194471,0.170432985235401,0.0304444232680752,0.164564476030893,1.11712890425878,1.2587309801671
1985,did_yr1985,1.14293660661228,0.133600920993114,0.0273386843303962,0.2039468884356,1.08330559172321,1.20585003595935
1986,did_yr1986,1.15027831946169,0.140003930016993,0.0358033449167899,0.249935135435598,1.07232519906313,1.23389827393743
1987,did_yr1987,1.4639089328963,0.381110209298543,0.0265359595315544,0.00383928152553503,1.3897164431754,1.54206232094146
1988,did_yr1988,1.14557819123919,0.135909480066071,0.0348429136284825,0.277123312304945,1.06995583225367,1.22654538877424
1989,did_yr1989,1.11951171006436,0.112892617086257,0.0387859181728801,0.292190463660458,1.03756043026747,1.20793587767043
1990,did_yr1990,1.12414436555295,0.117022182327951,0.0406648837138649,0.222475460985938,1.03802410835424,1.21740963859502
1991,did_yr1991,1.24023630022242,0.215301926157298,0.0487363816186777,0.0268474965968349,1.12724727190684,1.36455072345167
1992,did_yr1992,1.43673718992256,0.362374702355917,0.0568302501282305,0.00190116191422345,1.28529390508411,1.60602469578466
1993,did_yr1993,1.47683218068955,0.389899375353488,0.0626047783773479,0.0011165814635828,1.30629385547122,1.66963450129183
1994,did_yr1994,1.26825969364438,0.237645640758437,0.061439262525819,0.0672651741770754,1.12437203219943,1.43056088595205
1995,did_yr1995,1.23499704916894,0.211068580740195,0.064723571041721,0.103089774345698,1.08785773487635,1.40203784241084
1996,did_yr1996,1.30586135141637,0.26686286244397,0.0708834723275744,0.0706301976758004,1.1364748749579,1.50049412151427
1997,did_yr1997,1.08107771233746,0.0779584253770108,0.0836145944505543,0.658441470086193,0.917661970759544,1.27359426167073
1998,did_yr1998,1.42154588115772,0.351744928167513,0.0748431116293317,0.00326349965938412,1.2275894250211,1.64614703503312
1999,did_yr1999,1.49364252425564,0.401217783820026,0.085692371707663,0.00280996962411664,1.26271066962081,1.76680853653887
2000,did_yr2000,1.15649207067774,0.145391346356072,0.112937180364945,0.442685248656706,0.926848157097612,1.44303454594842
2001,did_yr2001,1.05179433464045,0.0504975958118139,0.132001479203531,0.770108328302251,0.812024064295978,1.36236273162776
2002,did_yr2002,0.945521819789875,-0.0560183136354967,0.152052980948122,0.801111459991703,0.701845379531708,1.27380123567283
2003,did_yr2003,1.66062906818453,0.507196487320152,0.165869691114516,0.0484523441417514,1.19972443477502,2.29860193071467
2004,did_yr2004,1.76305605340008,0.5670486972382,0.188028200524046,0.0580405205818756,1.21958839931645,2.54870138906932
