panel_id,panel_year,n_active,sw,fac_mixed,age_rank,cap_rank,is_oldest,is_smallest
10405_CO,1989,3,TRUE,FALSE,0.25,0.75,FALSE,FALSE
10405_CO,1990,2,TRUE,FALSE,1,0,TRUE,TRUE
1040_LA,1997,2,TRUE,FALSE,1,0,TRUE,TRUE
10421_LA,1989,2,TRUE,FALSE,0.5,0.5,TRUE,TRUE
10430_CO,1985,6,TRUE,FALSE,0,0,FALSE,TRUE
10430_CO,2001,6,TRUE,FALSE,0,0,FALSE,TRUE
1043_ME,1990,3,TRUE,FALSE,0.5,0.5,TRUE,FALSE
1044_ME,1988,4,TRUE,FALSE,0.333333333333333,0.166666666666667,FALSE,TRUE
1044_ME,1991,3,TRUE,FALSE,0.75,0.5,TRUE,FALSE
10460_CO,2018,2,TRUE,TRUE,1,1,TRUE,FALSE
10460_CO,1992,3,TRUE,FALSE,1,0.25,TRUE,TRUE
10460_CO,1994,2,TRUE,FALSE,0,1,FALSE,FALSE
10463_ME,1987,5,TRUE,FALSE,1,0,TRUE,TRUE
10466_ME,1990,4,TRUE,FALSE,0,0,FALSE,TRUE
10467_ME,1992,4,TRUE,FALSE,0.5,0.333333333333333,TRUE,TRUE
10469_ME,1987,4,TRUE,FALSE,0.5,1,TRUE,FALSE
10470_ME,1988,4,TRUE,FALSE,0.5,0.333333333333333,TRUE,TRUE
10479_ME,1993,2,TRUE,TRUE,1,0,TRUE,TRUE
10482_LA,1995,4,TRUE,FALSE,0.5,0,TRUE,TRUE
10488_CO,1994,5,TRUE,FALSE,0.625,0,TRUE,TRUE
1048_CO,1994,2,TRUE,FALSE,0.5,1,TRUE,FALSE
104954_TX,2006,3,TRUE,FALSE,0.5,0,TRUE,TRUE
10502_LA,1986,4,TRUE,FALSE,0.5,1,TRUE,FALSE
10506_ME,1990,5,TRUE,FALSE,1,0.375,TRUE,FALSE
10512_LA,1994,2,TRUE,FALSE,1,0,TRUE,TRUE
10530_CO,1995,4,TRUE,FALSE,0.666666666666667,0,TRUE,TRUE
10552_ME,1987,2,TRUE,FALSE,0.5,0.5,TRUE,TRUE
10554_LA,2008,4,TRUE,FALSE,1,0,TRUE,TRUE
10567_CO,1998,4,TRUE,FALSE,0.666666666666667,0,TRUE,TRUE
10578_CO,1989,4,TRUE,FALSE,0.5,0,TRUE,TRUE
105996_TX,1999,2,TRUE,TRUE,0.5,0,TRUE,TRUE
106477_LA,1999,5,TRUE,FALSE,0.5,0,TRUE,TRUE
10679_LA,1996,4,TRUE,FALSE,0.5,0,TRUE,TRUE
10696_CO,1992,3,TRUE,FALSE,0,0,FALSE,TRUE
10697_CO,2002,2,TRUE,FALSE,0.5,0.5,TRUE,TRUE
1069_ME,1988,2,TRUE,FALSE,0.5,0.5,TRUE,TRUE
10703_ME,1987,4,TRUE,FALSE,1,0.666666666666667,TRUE,FALSE
10708_CO,1989,3,TRUE,FALSE,0.5,0,TRUE,TRUE
10711_CO,1995,7,TRUE,TRUE,1,0,TRUE,TRUE
10723_CO,1989,2,TRUE,FALSE,0.5,0.5,TRUE,TRUE
10731_CO,1990,3,TRUE,FALSE,1,0,TRUE,TRUE
107633_TX,2003,3,FALSE,FALSE,0.5,0.5,TRUE,TRUE
10783_CO,1988,3,TRUE,FALSE,0,0,FALSE,TRUE
10789_CO,2004,5,TRUE,FALSE,0.875,0,TRUE,TRUE
10799_CO,2012,3,TRUE,FALSE,0.5,0,TRUE,TRUE
10815_CO,1990,3,TRUE,FALSE,1,0,TRUE,TRUE
108268_TX,1990,4,TRUE,FALSE,0.5,0.666666666666667,TRUE,FALSE
10836_ME,1986,4,TRUE,FALSE,0.5,0.5,TRUE,TRUE
10863_CO,1993,2,TRUE,FALSE,0.5,0.5,TRUE,TRUE
108641_TX,2020,3,TRUE,FALSE,0.5,0.75,TRUE,FALSE
10868_ME,1990,2,TRUE,TRUE,1,1,TRUE,FALSE
