did_term,make_model_tank,N
0,Single-Walled_Other-Fuel_5k-12k_1993,10297
0,Single-Walled_Motor-Fuel-Mixed_12k-25k_1990,708
0,Single-Walled_Motor-Fuel-Mixed_12k-25k_1996,1245
0,Double-Walled_Other-Fuel_Under-1k_1991,5292
0,Double-Walled_Other-Fuel_12k-25k_1992,5748
0,Single-Walled_Other-Fuel_Under-1k_1992,6314
0,Double-Walled_Other-Fuel_Under-1k_1995,2249
0,Double-Walled_Other-Fuel_5k-12k_1996,10736
0,Double-Walled_Diesel-Only_25k-Plus_1997,833
0,Double-Walled_Other-Fuel_Under-1k_1990,8402
0,Double-Walled_Other-Fuel_5k-12k_1994,11818
0,Double-Walled_Other-Fuel_1k-5k_1996,6495
0,Double-Walled_Diesel-Only_Under-1k_1990,2512
0,Single-Walled_Diesel-Only_Under-1k_1990,3211
0,Single-Walled_Diesel-Only_12k-25k_1997,10299
0,Single-Walled_Other-Fuel_12k-25k_1997,3248
0,Single-Walled_Motor-Fuel-Mixed_5k-12k_1990,526
0,Double-Walled_Gasoline-Only_25k-Plus_1996,168
0,Double-Walled_Motor-Fuel-Mixed_5k-12k_1995,534
0,Double-Walled_Gasoline-Only_25k-Plus_1991,93
0,Double-Walled_Diesel-Only_1k-5k_1989,10331
0,Double-Walled_Gasoline-Only_Under-1k_1989,1592
0,Double-Walled_Diesel-Only_Under-1k_1989,1748
0,Double-Walled_Motor-Fuel-Mixed_1k-5k_1992,315
0,Double-Walled_Motor-Fuel-Mixed_12k-25k_1989,194
0,Unknown-Wall_Other-Fuel_Under-1k_1997,7868
0,Single-Walled_Other-Fuel_5k-12k_1997,8778
0,Single-Walled_Diesel-Only_25k-Plus_1990,554
0,Single-Walled_Other-Fuel_25k-Plus_1990,210
0,Double-Walled_Motor-Fuel-Mixed_1k-5k_1991,295
0,Double-Walled_Diesel-Only_25k-Plus_1995,819
0,Unknown-Wall_Gasoline-Only_5k-12k_1992,38039
0,Unknown-Wall_Gasoline-Only_12k-25k_1992,16995
0,Single-Walled_Gasoline-Only_Under-1k_1996,1926
0,Unknown-Wall_Diesel-Only_Under-1k_1991,2920
0,Single-Walled_Other-Fuel_Under-1k_1995,3586
0,Double-Walled_Other-Fuel_Under-1k_1989,6319
0,Single-Walled_Other-Fuel_Under-1k_1993,5359
0,Double-Walled_Other-Fuel_Under-1k_1996,1894
0,Unknown-Wall_Other-Fuel_Under-1k_1994,4968
0,Unknown-Wall_Other-Fuel_1k-5k_1989,50385
0,Unknown-Wall_Other-Fuel_Under-1k_1989,14005
0,Double-Walled_Other-Fuel_25k-Plus_1996,634
0,Unknown-Wall_Gasoline-Only_5k-12k_1990,102817
0,Double-Walled_Other-Fuel_12k-25k_1994,6280
0,Double-Walled_Motor-Fuel-Mixed_Under-1k_1994,4
0,Unknown-Wall_Other-Fuel_1k-5k_1990,38135
0,Double-Walled_Other-Fuel_12k-25k_1991,10092
0,Single-Walled_Motor-Fuel-Mixed_1k-5k_1994,273
0,Unknown-Wall_Other-Fuel_5k-12k_1991,22545
0,Unknown-Wall_Gasoline-Only_12k-25k_1991,25991
0,Unknown-Wall_Diesel-Only_5k-12k_1991,12830
0,Double-Walled_Motor-Fuel-Mixed_5k-12k_1997,730
0,Double-Walled_Diesel-Only_Under-1k_1991,2035
0,Single-Walled_Other-Fuel_Under-1k_1997,2921
0,Single-Walled_Diesel-Only_Under-1k_1991,2822
0,Single-Walled_Other-Fuel_5k-12k_1995,9520
0,Double-Walled_Other-Fuel_25k-Plus_1990,775
0,Double-Walled_Other-Fuel_25k-Plus_1995,326
0,Double-Walled_Other-Fuel_12k-25k_1997,4439
0,Double-Walled_Gasoline-Only_25k-Plus_1990,292
0,Single-Walled_Gasoline-Only_Under-1k_1992,2007
0,Double-Walled_Diesel-Only_25k-Plus_1990,515
0,Single-Walled_Diesel-Only_Under-1k_1994,1727
0,Single-Walled_Diesel-Only_Under-1k_1993,2240
0,Double-Walled_Motor-Fuel-Mixed_1k-5k_1990,105
0,Unknown-Wall_Gasoline-Only_1k-5k_1989,31460
0,Unknown-Wall_Diesel-Only_1k-5k_1995,4652
0,Single-Walled_Motor-Fuel-Mixed_5k-12k_1993,491
0,Double-Walled_Diesel-Only_Under-1k_1992,1747
0,Unknown-Wall_Gasoline-Only_1k-5k_1990,24970
0,Double-Walled_Motor-Fuel-Mixed_25k-Plus_1993,56
0,Single-Walled_Gasoline-Only_Under-1k_1989,4410
0,Double-Walled_Other-Fuel_5k-12k_1997,9364
0,Unknown-Wall_Other-Fuel_Under-1k_1991,9245
0,Single-Walled_Diesel-Only_25k-Plus_1996,422
0,Unknown-Wall_Diesel-Only_5k-12k_1989,27532
0,Double-Walled_Gasoline-Only_Under-1k_1991,1273
0,Single-Walled_Diesel-Only_Under-1k_1995,1324
0,Single-Walled_Other-Fuel_5k-12k_1994,10544
0,Double-Walled_Gasoline-Only_25k-Plus_1992,128
0,Unknown-Wall_Other-Fuel_1k-5k_1994,18870
0,Unknown-Wall_Gasoline-Only_12k-25k_1995,20442
0,Single-Walled_Other-Fuel_12k-25k_1992,3090
0,Double-Walled_Gasoline-Only_25k-Plus_1997,672
0,Double-Walled_Motor-Fuel-Mixed_12k-25k_1990,344
0,Double-Walled_Gasoline-Only_Under-1k_1993,795
0,Double-Walled_Diesel-Only_25k-Plus_1991,324
0,Double-Walled_Gasoline-Only_Under-1k_1997,532
0,Single-Walled_Motor-Fuel-Mixed_1k-5k_1990,141
0,Single-Walled_Motor-Fuel-Mixed_1k-5k_1995,251
0,Single-Walled_Diesel-Only_Under-1k_1992,2201
0,Single-Walled_Other-Fuel_5k-12k_1996,8540
0,Double-Walled_Diesel-Only_Under-1k_1994,1421
0,Single-Walled_Diesel-Only_25k-Plus_1991,269
0,Unknown-Wall_Gasoline-Only_Under-1k_1991,1413
0,Unknown-Wall_Diesel-Only_1k-5k_1991,10387
0,Unknown-Wall_Other-Fuel_12k-25k_1991,4186
0,Single-Walled_Motor-Fuel-Mixed_1k-5k_1997,137
0,Single-Walled_Motor-Fuel-Mixed_5k-12k_1995,654
0,Unknown-Wall_Other-Fuel_Under-1k_1993,4312
0,Single-Walled_Gasoline-Only_Under-1k_1993,2499
0,Unknown-Wall_Gasoline-Only_5k-12k_1993,33687
0,Double-Walled_Gasoline-Only_25k-Plus_1994,349
0,Unknown-Wall_Diesel-Only_1k-5k_1992,8002
0,Double-Walled_Diesel-Only_25k-Plus_1996,662
0,Single-Walled_Gasoline-Only_Under-1k_1995,2224
0,Double-Walled_Gasoline-Only_Under-1k_1996,682
0,Unknown-Wall_Other-Fuel_Under-1k_1996,3834
0,Single-Walled_Other-Fuel_12k-25k_1993,2986
0,Double-Walled_Other-Fuel_25k-Plus_1992,760
0,Unknown-Wall_Other-Fuel_12k-25k_1989,3724
0,Double-Walled_Other-Fuel_25k-Plus_1991,342
0,Double-Walled_Other-Fuel_25k-Plus_1989,423
0,Single-Walled_Other-Fuel_25k-Plus_1989,323
