panel_id,n_tanks,n_sw,n_dw,n_closed,n_closed_sw,n_closed_dw,any_closed,has_both_types
ID6-120616_ID,2,2,0,0,0,0,0,0
ID6-170002_ID,2,2,0,0,0,0,0,0
ID6-170019_ID,2,2,0,2,2,0,1,0
ID6-170604_ID,1,1,0,1,1,0,1,0
ID6-190001_ID,1,1,0,0,0,0,0,0
ID6-190014_ID,2,2,0,0,0,0,0,0
ID6-190021_ID,4,4,0,0,0,0,0,0
ID6-190022_ID,3,3,0,0,0,0,0,0
ID6-190036_ID,1,1,0,1,1,0,1,0
ID6-190044_ID,3,3,0,0,0,0,0,0
ID6-220023_ID,1,1,0,1,1,0,1,0
ID6-220026_ID,2,2,0,2,2,0,1,0
ID6-220034_ID,3,3,0,0,0,0,0,0
ID6-220039_ID,4,4,0,0,0,0,0,0
ID6-220602_ID,2,2,0,0,0,0,0,0
ID6-220613_ID,3,3,0,0,0,0,0,0
ID6-220616_ID,6,6,0,0,0,0,0,0
ID6-220618_ID,3,3,0,0,0,0,0,0
ID6-220622_ID,3,3,0,3,3,0,1,0
ID6-220625_ID,2,2,0,2,2,0,1,0
ID6-260027_ID,3,3,0,3,3,0,1,0
ID6-260600_ID,3,3,0,0,0,0,0,0
ID6-260601_ID,2,2,0,2,2,0,1,0
ID6-260602_ID,3,3,0,0,0,0,0,0
ID6-300047_ID,2,2,0,2,2,0,1,0
ID6-300049_ID,4,4,0,0,0,0,0,0
ID6-300605_ID,5,4,1,1,0,1,1,1
ID6-330034_ID,5,5,0,0,0,0,0,0
ID6-330037_ID,1,1,0,0,0,0,0,0
ID6-330041_ID,1,1,0,1,1,0,1,0
ID6-330053_ID,2,2,0,2,2,0,1,0
ID6-330059_ID,2,2,0,2,2,0,1,0
ID6-330069_ID,4,2,2,2,0,2,1,1
ID6-330608_ID,3,3,0,0,0,0,0,0
ID6-330610_ID,2,2,0,2,2,0,1,0
ID6-330615_ID,6,6,0,0,0,0,0,0
ID6-330618_ID,3,3,0,0,0,0,0,0
