s_idx,A_bin,w_state,rho_state,size_boy,n,P_M,P_E,P_R,P_cl
22,6,1,2,3,17175,0.973857350800582,0.0182823871906841,0.00786026200873363,0.0261426491994178
22,6,1,2,4+,11151,0.973993363823872,0.0160523719845754,0.00995426419155233,0.0260066361761277
23,7,1,2,1,2023,0.938704893722195,0.0598121601581809,0.00148294611962432,0.0612951062778052
23,7,1,2,2,5309,0.950838199284234,0.0442644565831607,0.00489734413260501,0.0491618007157657
23,7,1,2,3,13769,0.968044157164645,0.02120705933619,0.0107487834991648,0.0319558428353548
23,7,1,2,4+,8658,0.964656964656965,0.0244860244860245,0.0108570108570109,0.0353430353430353
24,8,1,2,1,2239,0.931665922286735,0.0669941938365342,0.00133988387673068,0.0683340777132649
24,8,1,2,2,5970,0.950753768844221,0.0438860971524288,0.00536013400335008,0.0492462311557789
24,8,1,2,3,11557,0.955351734879294,0.0336592541316951,0.010989010989011,0.0446482651207061
24,8,1,2,4+,6262,0.95049504950495,0.0392845736186522,0.0102203768763973,0.0495049504950495
25,1,2,2,1,5306,0.998492272898605,0.00131926121372032,0.000188465887674331,0.00150772710139465
25,1,2,2,2,11267,0.998313659359191,0.00150883109967161,0.000177509541137836,0.00168634064080944
25,1,2,2,3,3088,0.998704663212435,0.000971502590673575,0.000323834196891192,0.00129533678756477
25,1,2,2,4+,1573,0.999364272091545,0,0.000635727908455181,0.000635727908455181
26,2,2,2,1,3685,0.992944369063772,0.00705563093622795,0,0.00705563093622795
26,2,2,2,2,8300,0.994939759036145,0.00481927710843374,0.000240963855421687,0.00506024096385542
26,2,2,2,3,3152,0.996510152284264,0.00348984771573604,0,0.00348984771573604
26,2,2,2,4+,1015,0.999014778325123,0.000985221674876847,0,0.000985221674876847
27,3,2,2,1,3268,0.98500611995104,0.0131578947368421,0.0018359853121175,0.0149938800489596
27,3,2,2,2,6674,0.989211866946359,0.00644291279592448,0.00434522025771651,0.010788133053641
