make_model_tank,n_tx,n_ctl,n_total,has_both
Single-Walled_Diesel-Only_12k-25k_1996,53,327,380,1
Double-Walled_Other-Fuel_1k-5k_1994,17,356,373,1
Double-Walled_Gasoline-Only_1k-5k_1997,4,369,373,1
Unknown-Wall_Diesel-Only_5k-12k_1992,0,373,373,0
Unknown-Wall_Diesel-Only_5k-12k_1997,1,372,373,1
Single-Walled_Diesel-Only_12k-25k_1995,47,325,372,1
Unknown-Wall_Gasoline-Only_1k-5k_1992,0,371,371,0
Double-Walled_Other-Fuel_1k-5k_1995,12,357,369,1
Single-Walled_Diesel-Only_12k-25k_1992,37,331,368,1
Single-Walled_Diesel-Only_12k-25k_1994,32,332,364,1
Unknown-Wall_Diesel-Only_1k-5k_1991,0,364,364,0
Double-Walled_Diesel-Only_12k-25k_1993,29,334,363,1
Double-Walled_Diesel-Only_1k-5k_1989,11,351,362,1
Single-Walled_Other-Fuel_12k-25k_1990,93,264,357,1
Double-Walled_Diesel-Only_1k-5k_1995,8,348,356,1
Double-Walled_Other-Fuel_Under-1k_1990,18,324,342,1
Unknown-Wall_Diesel-Only_5k-12k_1994,0,342,342,0
Unknown-Wall_Other-Fuel_Under-1k_1992,0,341,341,0
Unknown-Wall_Other-Fuel_Under-1k_1991,0,335,335,0
Single-Walled_Diesel-Only_12k-25k_1993,38,295,333,1
Unknown-Wall_Diesel-Only_5k-12k_1993,0,333,333,0
Double-Walled_Other-Fuel_12k-25k_1990,34,296,330,1
Unknown-Wall_Other-Fuel_Under-1k_1997,0,330,330,0
Unknown-Wall_Diesel-Only_5k-12k_1995,0,329,329,0
Single-Walled_Other-Fuel_12k-25k_1989,58,263,321,1
Unknown-Wall_Gasoline-Only_1k-5k_1993,0,313,313,0
Double-Walled_Other-Fuel_1k-5k_1996,21,287,308,1
Unknown-Wall_Diesel-Only_12k-25k_1989,0,307,307,0
Double-Walled_Other-Fuel_1k-5k_1997,8,298,306,1
Unknown-Wall_Diesel-Only_5k-12k_1996,0,303,303,0
Double-Walled_Gasoline-Only_1k-5k_1994,4,296,300,1
Double-Walled_Other-Fuel_12k-25k_1994,57,234,291,1
Unknown-Wall_Diesel-Only_12k-25k_1990,0,287,287,0
Unknown-Wall_Diesel-Only_1k-5k_1992,0,286,286,0
Single-Walled_Other-Fuel_12k-25k_1991,76,207,283,1
Unknown-Wall_Diesel-Only_12k-25k_1991,0,282,282,0
Single-Walled_Other-Fuel_Under-1k_1991,12,267,279,1
Double-Walled_Gasoline-Only_1k-5k_1996,1,278,279,1
Single-Walled_Other-Fuel_Under-1k_1992,3,261,264,1
Double-Walled_Other-Fuel_12k-25k_1995,51,208,259,1
Double-Walled_Other-Fuel_12k-25k_1996,69,183,252,1
Double-Walled_Gasoline-Only_1k-5k_1995,9,242,251,1
Double-Walled_Other-Fuel_12k-25k_1997,55,194,249,1
Double-Walled_Other-Fuel_12k-25k_1993,36,212,248,1
Double-Walled_Other-Fuel_12k-25k_1992,43,204,247,1
Double-Walled_Other-Fuel_Under-1k_1989,9,223,232,1
Unknown-Wall_Gasoline-Only_1k-5k_1994,0,229,229,0
Single-Walled_Other-Fuel_12k-25k_1996,88,135,223,1
Single-Walled_Other-Fuel_Under-1k_1993,3,215,218,1
Double-Walled_Other-Fuel_Under-1k_1991,10,207,217,1
Unknown-Wall_Diesel-Only_1k-5k_1993,0,212,212,0
Unknown-Wall_Diesel-Only_1k-5k_1997,0,211,211,0
Single-Walled_Other-Fuel_12k-25k_1994,82,125,207,1
Unknown-Wall_Diesel-Only_12k-25k_1997,0,206,206,0
Single-Walled_Diesel-Only_Under-1k_1989,5,193,198,1
Unknown-Wall_Gasoline-Only_1k-5k_1995,0,197,197,0
Unknown-Wall_Motor-Fuel-Mixed_5k-12k_1989,0,197,197,0
Unknown-Wall_Diesel-Only_1k-5k_1994,0,194,194,0
Unknown-Wall_Other-Fuel_Under-1k_1994,1,192,193,1
Unknown-Wall_Diesel-Only_12k-25k_1992,0,192,192,0
Double-Walled_Other-Fuel_Under-1k_1992,4,187,191,1
Unknown-Wall_Diesel-Only_1k-5k_1995,0,189,189,0
Unknown-Wall_Diesel-Only_12k-25k_1994,1,188,189,1
Single-Walled_Gasoline-Only_Under-1k_1989,13,174,187,1
Unknown-Wall_Diesel-Only_12k-25k_1996,0,187,187,0
Single-Walled_Other-Fuel_12k-25k_1995,71,114,185,1
Single-Walled_Other-Fuel_12k-25k_1997,51,133,184,1
Unknown-Wall_Diesel-Only_1k-5k_1996,0,179,179,0
Unknown-Wall_Gasoline-Only_1k-5k_1997,0,178,178,0
Unknown-Wall_Diesel-Only_12k-25k_1995,0,175,175,0
Unknown-Wall_Diesel-Only_12k-25k_1993,0,173,173,0
Unknown-Wall_Other-Fuel_12k-25k_1994,0,172,172,0
Unknown-Wall_Motor-Fuel-Mixed_5k-12k_1990,0,171,171,0
Double-Walled_Other-Fuel_12k-25k_1989,24,142,166,1
Unknown-Wall_Other-Fuel_Under-1k_1993,2,162,164,1
Double-Walled_Other-Fuel_Under-1k_1993,9,152,161,1
Unknown-Wall_Gasoline-Only_1k-5k_1996,0,158,158,0
Unknown-Wall_Other-Fuel_Under-1k_1996,0,157,157,0
Unknown-Wall_Motor-Fuel-Mixed_5k-12k_1992,1,154,155,1
Single-Walled_Other-Fuel_Under-1k_1995,4,150,154,1
Single-Walled_Other-Fuel_12k-25k_1993,54,100,154,1
Single-Walled_Other-Fuel_Under-1k_1994,10,142,152,1
Single-Walled_Gasoline-Only_Under-1k_1990,4,147,151,1
Unknown-Wall_Other-Fuel_12k-25k_1997,1,150,151,1
Unknown-Wall_Motor-Fuel-Mixed_5k-12k_1991,0,150,150,0
Single-Walled_Other-Fuel_12k-25k_1992,48,101,149,1
Unknown-Wall_Other-Fuel_Under-1k_1995,0,148,148,0
Unknown-Wall_Diesel-Only_Under-1k_1989,0,147,147,0
Unknown-Wall_Motor-Fuel-Mixed_5k-12k_1996,0,146,146,0
Unknown-Wall_Other-Fuel_12k-25k_1995,0,146,146,0
Unknown-Wall_Other-Fuel_12k-25k_1996,0,144,144,0
Single-Walled_Other-Fuel_Under-1k_1997,3,138,141,1
Unknown-Wall_Other-Fuel_12k-25k_1991,0,141,141,0
Double-Walled_Other-Fuel_Under-1k_1994,5,132,137,1
Double-Walled_Motor-Fuel-Mixed_12k-25k_1997,43,89,132,1
Unknown-Wall_Motor-Fuel-Mixed_5k-12k_1994,0,126,126,0
Unknown-Wall_Motor-Fuel-Mixed_5k-12k_1995,0,125,125,0
Single-Walled_Diesel-Only_Under-1k_1990,2,122,124,1
Single-Walled_Other-Fuel_Under-1k_1996,1,119,120,1
Unknown-Wall_Other-Fuel_12k-25k_1992,0,120,120,0
Unknown-Wall_Other-Fuel_12k-25k_1989,0,119,119,0
Unknown-Wall_Motor-Fuel-Mixed_5k-12k_1997,0,119,119,0
Unknown-Wall_Motor-Fuel-Mixed_1k-5k_1989,0,119,119,0
Single-Walled_Diesel-Only_Under-1k_1991,4,114,118,1
Single-Walled_Motor-Fuel-Mixed_12k-25k_1997,75,41,116,1
Single-Walled_Motor-Fuel-Mixed_12k-25k_1996,73,43,116,1
Unknown-Wall_Motor-Fuel-Mixed_5k-12k_1993,0,115,115,0
Unknown-Wall_Diesel-Only_Under-1k_1990,0,115,115,0
Unknown-Wall_Other-Fuel_12k-25k_1990,2,112,114,1
Double-Walled_Other-Fuel_Under-1k_1995,4,103,107,1
Unknown-Wall_Other-Fuel_12k-25k_1993,0,107,107,0
Single-Walled_Gasoline-Only_Under-1k_1991,1,103,104,1
Double-Walled_Motor-Fuel-Mixed_12k-25k_1996,32,69,101,1
Unknown-Wall_Diesel-Only_Under-1k_1991,0,101,101,0
Single-Walled_Gasoline-Only_Under-1k_1997,2,98,100,1
Single-Walled_Gasoline-Only_Under-1k_1993,0,98,98,0
Double-Walled_Diesel-Only_Under-1k_1990,1,96,97,1
Unknown-Wall_Motor-Fuel-Mixed_1k-5k_1991,0,97,97,0
Double-Walled_Other-Fuel_Under-1k_1996,5,89,94,1
Double-Walled_Other-Fuel_Under-1k_1997,1,92,93,1
Single-Walled_Diesel-Only_Under-1k_1993,3,89,92,1
Single-Walled_Gasoline-Only_Under-1k_1995,1,89,90,1
Unknown-Wall_Motor-Fuel-Mixed_1k-5k_1990,0,89,89,0
Single-Walled_Diesel-Only_Under-1k_1992,1,87,88,1
Unknown-Wall_Diesel-Only_Under-1k_1992,0,87,87,0
Unknown-Wall_Motor-Fuel-Mixed_12k-25k_1997,0,86,86,0
Unknown-Wall_Diesel-Only_Under-1k_1993,0,85,85,0
Unknown-Wall_Gasoline-Only_Under-1k_1989,1,84,85,1
Single-Walled_Motor-Fuel-Mixed_12k-25k_1995,43,41,84,1
Unknown-Wall_Motor-Fuel-Mixed_12k-25k_1993,0,84,84,0
Unknown-Wall_Gasoline-Only_Under-1k_1990,0,84,84,0
Single-Walled_Gasoline-Only_Under-1k_1992,0,83,83,0
Single-Walled_Gasoline-Only_Under-1k_1994,0,83,83,0
Single-Walled_Gasoline-Only_Under-1k_1996,0,82,82,0
Double-Walled_Diesel-Only_Under-1k_1991,2,76,78,1
Double-Walled_Diesel-Only_Under-1k_1992,1,73,74,1
Unknown-Wall_Motor-Fuel-Mixed_12k-25k_1995,0,74,74,0
Single-Walled_Diesel-Only_Under-1k_1994,1,71,72,1
