panel_id,is_gas
ID1-400632_ID,1
ID1-400633_ID,1
ID1-400634_ID,0
ID2-180001_ID,1
ID2-180003_ID,1
ID2-180008_ID,0
ID2-180009_ID,1
ID2-180015_ID,1
ID2-180017_ID,1
ID2-180018_ID,1
ID2-180021_ID,0
ID2-180024_ID,1
ID2-180025_ID,1
ID2-180026_ID,0
ID2-180027_ID,1
ID2-180028_ID,1
ID2-180029_ID,1
ID2-180031_ID,1
ID2-180033_ID,1
ID2-180034_ID,0
ID2-180036_ID,0
ID2-180037_ID,0
ID2-180039_ID,1
ID2-180040_ID,1
ID2-180041_ID,1
ID2-180043_ID,1
ID2-180044_ID,1
ID2-180046_ID,1
ID2-180048_ID,0
ID2-180049_ID,1
ID2-180051_ID,1
ID2-180052_ID,1
ID2-180056_ID,1
ID2-180600_ID,1
ID2-180601_ID,1
ID2-180603_ID,0
ID2-180610_ID,1
ID2-180611_ID,1
ID2-180612_ID,0
ID2-180613_ID,0
ID2-180614_ID,1
ID2-180615_ID,1
ID2-180616_ID,0
ID2-180617_ID,1
ID2-250001_ID,1
ID2-250003_ID,1
ID2-250004_ID,1
ID2-250005_ID,1
ID2-250006_ID,0
ID2-250007_ID,1
ID2-250008_ID,1
ID2-250009_ID,0
ID2-250011_ID,1
ID2-250012_ID,1
ID2-250013_ID,1
ID2-250017_ID,1
ID2-250018_ID,1
ID2-250019_ID,1
ID2-250020_ID,0
ID2-250021_ID,1
ID2-250022_ID,1
ID2-250025_ID,1
ID2-250026_ID,0
ID2-250027_ID,1
ID2-250029_ID,1
ID2-250030_ID,1
ID2-250031_ID,1
ID2-250032_ID,1
ID2-250033_ID,0
ID2-250034_ID,1
ID2-250035_ID,1
ID2-250036_ID,0
ID2-250037_ID,1
ID2-250038_ID,1
ID2-250039_ID,1
ID2-250040_ID,1
ID2-250041_ID,1
ID2-250042_ID,1
ID2-250043_ID,0
ID2-250044_ID,1
ID2-250045_ID,1
ID2-250047_ID,1
ID2-250048_ID,1
ID2-250049_ID,0
ID2-250054_ID,1
